Timestamp,Crypto,Close Price
2023-09-22,BTC,26583.16
2023-09-23,BTC,26585.41
2023-09-24,BTC,26261.44
2023-09-25,BTC,26297.93
2023-09-26,BTC,26212.59
2023-09-27,BTC,26360.2
2023-09-28,BTC,27027.2
2023-09-29,BTC,26909.4
2023-09-30,BTC,26964.27
2023-10-01,BTC,27994.51
2023-10-02,BTC,27507.22
2023-10-03,BTC,27428.66
2023-10-04,BTC,27789.8
2023-10-05,BTC,27414.59
2023-10-06,BTC,27946.61
2023-10-07,BTC,27973.69
2023-10-08,BTC,27933.57
2023-10-09,BTC,27598.77
2023-10-10,BTC,27395.4
2023-10-11,BTC,26871.21
2023-10-12,BTC,26756.23
2023-10-13,BTC,26862.9
2023-10-14,BTC,26854.52
2023-10-15,BTC,27177.41
2023-10-16,BTC,28518.37
2023-10-17,BTC,28409.46
2023-10-18,BTC,28328.07
2023-10-19,BTC,28733.78
2023-10-20,BTC,29684.37
2023-10-21,BTC,29924.08
2023-10-22,BTC,30001.44
2023-10-23,BTC,33084.08
2023-10-24,BTC,33923.52
2023-10-25,BTC,34503.4
2023-10-26,BTC,34157.06
2023-10-27,BTC,33907.7
2023-10-28,BTC,34090.05
2023-10-29,BTC,34535.38
2023-10-30,BTC,34494.56
2023-10-31,BTC,34657.73
2023-11-01,BTC,35439.76
2023-11-02,BTC,34947.15
2023-11-03,BTC,34732.28
2023-11-04,BTC,35086.09
2023-11-05,BTC,35039.47
2023-11-06,BTC,35054.59
2023-11-07,BTC,35421.85
2023-11-08,BTC,35638.33
2023-11-09,BTC,36704.14
2023-11-10,BTC,37321.51
2023-11-11,BTC,37142.22
2023-11-12,BTC,37079.76
2023-11-13,BTC,36482.51
2023-11-14,BTC,35551.21
2023-11-15,BTC,37884.19
2023-11-16,BTC,36162.42
2023-11-17,BTC,36626.32
2023-11-18,BTC,36591.19
2023-11-19,BTC,37388.64
2023-11-20,BTC,37476.66
2023-11-21,BTC,35758.72
2023-11-22,BTC,37424.2
2023-11-23,BTC,37299.18
2023-11-24,BTC,37737.05
2023-11-25,BTC,37801.92
2023-11-26,BTC,37460.21
2023-11-27,BTC,37246.29
2023-11-28,BTC,37836.63
2023-11-29,BTC,37861.9
2023-11-30,BTC,37729.58
2023-12-01,BTC,38699.84
2023-12-02,BTC,39469.35
2023-12-03,BTC,39980.93
2023-12-04,BTC,41984.41
2023-12-05,BTC,44089.06
2023-12-06,BTC,43771.01
2023-12-07,BTC,43285.02
2023-12-08,BTC,44186.18
2023-12-09,BTC,43723.0
2023-12-10,BTC,43791.67
2023-12-11,BTC,41235.58
2023-12-12,BTC,41472.94
2023-12-13,BTC,42887.55
2023-12-14,BTC,43030.6
2023-12-15,BTC,41939.16
2023-12-16,BTC,42243.26
2023-12-17,BTC,41349.42
2023-12-18,BTC,42650.27
2023-12-19,BTC,42268.08
2023-12-20,BTC,43669.91
2023-12-21,BTC,43875.01
2023-12-22,BTC,44008.04
2023-12-23,BTC,43732.75
2023-12-24,BTC,43023.12
2023-12-25,BTC,43593.79
2023-12-26,BTC,42517.32
2023-12-27,BTC,43469.34
2023-12-28,BTC,42588.94
2023-12-29,BTC,42073.59
2023-12-30,BTC,42146.03
2023-12-31,BTC,42280.14
2024-01-01,BTC,44197.61
2024-01-02,BTC,44970.34
2024-01-03,BTC,42854.08
2024-01-04,BTC,44194.38
2024-01-05,BTC,44178.89
2024-01-06,BTC,43988.33
2024-01-07,BTC,43950.84
2024-01-08,BTC,46988.14
2024-01-09,BTC,46123.0
2024-01-10,BTC,46667.48
2024-01-11,BTC,46353.15
2024-01-12,BTC,42776.42
